Id	id_lot	nb_piece	typologie	prix_tva_reduite	prix_tva_normale	prix_HT	prix_m2_HT	prix_m2_TTC	orientation	exterieur	balcony	garden	parking	ville	departement	date_fin_programme	adresse_entiere	date_extraction	surface	etage	nom_programme	promoteur	index
11	67_3_GardenCity-Inten'City_Bouygues	3	Appartement		275500.0	229583.33	3384.69	4061.62	E	0	1	0	1	Clermont-Ferrand	63	fevrier 2024	RUE CHAMPFLEURI 63100 Clermont-Ferrand	2021-11-08	67.83	3.0	Garden City - Inten'City	Bouygues	11.0
12	69_3_GardenCity-Inten'City_Bouygues	3	Appartement		277500.0	231250.0	3348.05	4017.66	E	0	1	0	1	Clermont-Ferrand	63	fevrier 2024	RUE CHAMPFLEURI 63100 Clermont-Ferrand	2021-11-08	69.07	3.0	Garden City - Inten'City	Bouygues	12.0
13	76_2_GardenCity-Inten'City_Bouygues	4	Appartement		285500.0	237916.67	3128.84	3754.6	S	0	1	0	1	Clermont-Ferrand	63	fevrier 2024	RUE CHAMPFLEURI 63100 Clermont-Ferrand	2021-11-08	76.04	2.0	Garden City - Inten'City	Bouygues	13.0
14	76_3_GardenCity-Inten'City_Bouygues	4	Appartement		289500.0	241250.0	3172.67	3807.21	S	0	1	0	1	Clermont-Ferrand	63	fevrier 2024	RUE CHAMPFLEURI 63100 Clermont-Ferrand	2021-11-08	76.04	3.0	Garden City - Inten'City	Bouygues	14.0
15	78_2_GardenCity-Inten'City_Bouygues	4	Appartement						S	0	1	0	1	Clermont-Ferrand	63	fevrier 2024	RUE CHAMPFLEURI 63100 Clermont-Ferrand	2021-11-08	78.51	2.0	Garden City - Inten'City	Bouygues	15.0
16	80_4_GardenCity-Inten'City_Bouygues	4	Appartement		312500.0	260416.67	3220.19	3864.23	S	0	1	0	1	Clermont-Ferrand	63	fevrier 2024	RUE CHAMPFLEURI 63100 Clermont-Ferrand	2021-11-08	80.87	4.0	Garden City - Inten'City	Bouygues	16.0
17	78_3_GardenCity-Inten'City_Bouygues	4	Appartement		315500.0	262916.67	3348.83	4018.6	S	0	1	0	1	Clermont-Ferrand	63	fevrier 2024	RUE CHAMPFLEURI 63100 Clermont-Ferrand	2021-11-08	78.51	3.0	Garden City - Inten'City	Bouygues	17.0
25	41_1_PrismeBtimentA_Bouygues	2	Appartement	139788.0	159000.5687	132500.47	3193.55	3832.26	N	0	1	0	1	Clermont-Ferrand	63	mai 2024	131 B BOULEVARD LAFAYETTE 63000 Clermont-Ferrand	2021-11-08	41.49	1.0	Prisme Btiment A	Bouygues	25.0
26	44_1_PrismeBtimentA_Bouygues	2	Appartement	145942.0	166000.3791	138333.65	3128.31	3753.97	S	0	1	0	1	Clermont-Ferrand	63	mai 2024	131 B BOULEVARD LAFAYETTE 63000 Clermont-Ferrand	2021-11-08	44.22	1.0	Prisme Btiment A	Bouygues	26.0
27	41_3_PrismeBtimentA_Bouygues	2	Appartement	148579.0	168999.8104	140833.18	3394.39	4073.27	N	0	1	0	1	Clermont-Ferrand	63	mai 2024	131 B BOULEVARD LAFAYETTE 63000 Clermont-Ferrand	2021-11-08	41.49	3.0	Prisme Btiment A	Bouygues	27.0
29	41_4_PrismeBtimentA_Bouygues	2	Appartement	152975.0	174000.0	145000.0	3494.82	4193.78	N	0	1	0	1	Clermont-Ferrand	63	mai 2024	131 B BOULEVARD LAFAYETTE 63000 Clermont-Ferrand	2021-11-08	41.49	4.0	Prisme Btiment A	Bouygues	29.0
32	41_5_PrismeBtimentA_Bouygues	2	Appartement	159129.0	180999.8104	150833.18	3635.41	4362.49	N	0	1	0	1	Clermont-Ferrand	63	mai 2024	131 B BOULEVARD LAFAYETTE 63000 Clermont-Ferrand	2021-11-08	41.49	5.0	Prisme Btiment A	Bouygues	32.0
33	44_4_PrismeBtimentA_Bouygues	2	Appartement	160008.0	181999.6209	151666.35	3429.81	4115.78	S	0	1	0	1	Clermont-Ferrand	63	mai 2024	131 B BOULEVARD LAFAYETTE 63000 Clermont-Ferrand	2021-11-08	44.22	4.0	Prisme Btiment A	Bouygues	33.0
34	44_5_PrismeBtimentA_Bouygues	2	Appartement	166163.0	189000.5687	157500.47	3561.75	4274.1	S	0	1	0	1	Clermont-Ferrand	63	mai 2024	131 B BOULEVARD LAFAYETTE 63000 Clermont-Ferrand	2021-11-08	44.22	5.0	Prisme Btiment A	Bouygues	34.0
35	65_1_PrismeBtimentA_Bouygues	3	Appartement	180229.0	204999.8104	170833.18	2621.75	3146.1	N	0	1	0	1	Clermont-Ferrand	63	mai 2024	131 B BOULEVARD LAFAYETTE 63000 Clermont-Ferrand	2021-11-08	65.16	1.0	Prisme Btiment A	Bouygues	35.0
36	65_2_PrismeBtimentA_Bouygues	3	Appartement	186383.0	211999.6209	176666.35	2711.27	3253.52	N	0	1	0	1	Clermont-Ferrand	63	mai 2024	131 B BOULEVARD LAFAYETTE 63000 Clermont-Ferrand	2021-11-08	65.16	2.0	Prisme Btiment A	Bouygues	36.0
37	65_3_PrismeBtimentA_Bouygues	3	Appartement	191658.0	217999.6209	181666.35	2788.0	3345.6	N	0	1	0	1	Clermont-Ferrand	63	mai 2024	131 B BOULEVARD LAFAYETTE 63000 Clermont-Ferrand	2021-11-08	65.16	3.0	Prisme Btiment A	Bouygues	37.0
38	65_4_PrismeBtimentA_Bouygues	3	Appartement	196933.0	223999.6209	186666.35	2864.74	3437.69	N	0	1	0	1	Clermont-Ferrand	63	mai 2024	131 B BOULEVARD LAFAYETTE 63000 Clermont-Ferrand	2021-11-08	65.16	4.0	Prisme Btiment A	Bouygues	38.0
39	82_1_PrismeBtimentA_Bouygues	4	Appartement	216275.0	246000.0	205000.0	2494.83	2993.79	SE	0	1	0	1	Clermont-Ferrand	63	mai 2024	131 B BOULEVARD LAFAYETTE 63000 Clermont-Ferrand	2021-11-08	82.17	1.0	Prisme Btiment A	Bouygues	39.0
40	82_1__1_PrismeBtimentA_Bouygues	4	Appartement	216275.0	246000.0	205000.0	2494.83	2993.79	Traversant	0	1	0	1	Clermont-Ferrand	63	mai 2024	131 B BOULEVARD LAFAYETTE 63000 Clermont-Ferrand	2021-11-08	82.17	1.0	Prisme Btiment A	Bouygues	40.0
41	82_2_PrismeBtimentA_Bouygues	4	Appartement	223308.0	253999.6209	211666.35	2575.96	3091.15	SE	0	1	0	1	Clermont-Ferrand	63	mai 2024	131 B BOULEVARD LAFAYETTE 63000 Clermont-Ferrand	2021-11-08	82.17	2.0	Prisme Btiment A	Bouygues	41.0
42	82_3_PrismeBtimentA_Bouygues	4	Appartement	227704.0	258999.8104	215833.18	2626.67	3152.0	SE	0	1	0	1	Clermont-Ferrand	63	mai 2024	131 B BOULEVARD LAFAYETTE 63000 Clermont-Ferrand	2021-11-08	82.17	3.0	Prisme Btiment A	Bouygues	42.0
44	82_4_PrismeBtimentA_Bouygues	4	Appartement	232100.0	264000.0	220000.0	2677.38	3212.85	SE	0	1	0	1	Clermont-Ferrand	63	mai 2024	131 B BOULEVARD LAFAYETTE 63000 Clermont-Ferrand	2021-11-08	82.17	4.0	Prisme Btiment A	Bouygues	44.0
47	82_5_PrismeBtimentA_Bouygues	4	Appartement	240013.0	273000.5687	227500.47	2768.66	3322.39	SE	0	1	0	1	Clermont-Ferrand	63	mai 2024	131 B BOULEVARD LAFAYETTE 63000 Clermont-Ferrand	2021-11-08	82.17	5.0	Prisme Btiment A	Bouygues	47.0
51	96_LESTERRASSESDELHTEL-DIEU_Bouygues	4	Maison		469000.0	390833.33	4037.53	4845.04	SO	0	1	0	1	Clermont-Ferrand	63	novembre 2023	BOULEVARD CHARLES DE GAULLE 63000 Clermont-Ferrand	2021-11-08	96.8		LES TERRASSES DE L HTEL-DIEU	Bouygues	51.0
106	83_5_PRISMELot3-BtimentsCDetE_Bouygues	4	Appartement	229638.0	261199.6209	217666.35	2603.04	3123.65	NO	0	1	0	1	Clermont-Ferrand	63	novembre 2022	131 BOULEVARD LAFAYETTE 63000 Clermont-Ferrand	2021-11-08	83.62	5.0	PRISME Lot 3 - Btiments C. D et E	Bouygues	106.0
109	59_2_L'alcve_Bouygues	3	Appartement	183218.0	208399.6209	173666.35	2919.74	3503.69	N	0	1	0	1	Clermont-Ferrand	63	aout 2023	91 RUE DE LA GANTIERE 63000 Clermont-Ferrand	2021-11-08	59.48	2.0	L'alcve	Bouygues	109.0
110	63_1_L'alcve_Bouygues	3	Appartement	190340.0	216500.4739	180417.06	2832.74	3399.29	S	0	1	0	1	Clermont-Ferrand	63	aout 2023	91 RUE DE LA GANTIERE 63000 Clermont-Ferrand	2021-11-08	63.69	1.0	L'alcve	Bouygues	110.0
111	59_3_L'alcve_Bouygues	3	Appartement	192098.0	218500.0948	182083.41	3061.25	3673.51	N	0	1	0	1	Clermont-Ferrand	63	aout 2023	91 RUE DE LA GANTIERE 63000 Clermont-Ferrand	2021-11-08	59.48	3.0	L'alcve	Bouygues	111.0
112	63_2_L'alcve_Bouygues	3	Appartement	194296.0	221000.1896	184166.82	2891.61	3469.94	S	0	1	0	1	Clermont-Ferrand	63	aout 2023	91 RUE DE LA GANTIERE 63000 Clermont-Ferrand	2021-11-08	63.69	2.0	L'alcve	Bouygues	112.0
114	45_5_CtSud_Bouygues	2	Appartement		160000.0	133333.33	2957.7	3549.25	O	0	1	0	1	Clermont-Ferrand	63	novembre 2023	88 RUE DE LA GANTIERE 63000 Clermont-Ferrand	2021-11-08	45.08	5.0	Ct Sud	Bouygues	114.0
115	61_5_CtSud_Bouygues	3	Appartement	178471.0	203000.1896	169166.82	2749.79	3299.74	S	0	1	0	1	Clermont-Ferrand	63	novembre 2023	88 RUE DE LA GANTIERE 63000 Clermont-Ferrand	2021-11-08	61.52	5.0	Ct Sud	Bouygues	115.0
116	103_6_CtSud_Bouygues	5	Appartement	350788.0	399000.5687	332500.47	3206.37	3847.64	Traversant	0	1	0	1	Clermont-Ferrand	63	novembre 2023	88 RUE DE LA GANTIERE 63000 Clermont-Ferrand	2021-11-08	103.7	6.0	Ct Sud	Bouygues	116.0
117	105_6_CtSud_Bouygues	5	Appartement	378042.0	430000.3791	358333.65	3401.36	4081.64	SO	0	1	0	1	Clermont-Ferrand	63	novembre 2023	88 RUE DE LA GANTIERE 63000 Clermont-Ferrand	2021-11-08	105.35	6.0	Ct Sud	Bouygues	117.0
136	43_1_L'AuroredesRossignols_Bouygues	2	Appartement		139000.0	115833.33	2647.01	3176.42	SE	0	1	0	0	Saint-Ã‰tienne-de-Crossey	38	novembre 2023	ROUTE DE SAINT NICOLAS 38960 Saint-Ã‰tienne-de-Crossey	2021-11-08	43.76	1.0	L'Aurore des Rossignols	Bouygues	136.0
138	69_1_L'AuroredesRossignols_Bouygues	3	Appartement		190000.0	158333.33	2272.29	2726.75	NO	0	1	0	0	Saint-Ã‰tienne-de-Crossey	38	novembre 2023	ROUTE DE SAINT NICOLAS 38960 Saint-Ã‰tienne-de-Crossey	2021-11-08	69.68	1.0	L'Aurore des Rossignols	Bouygues	138.0
142	44_1_InspiR'_Bouygues	2	Appartement		175000.0	145833.33	3310.63	3972.76	NO	0	1	0	1	DomÃ¨ne	38	fevrier 2024	83 rue des brassiÃ¨res 38420 DomÃ¨ne	2021-11-08	44.05	1.0	InspiR'	Bouygues	142.0
143	63_1_InspiR'_Bouygues	3	Appartement		227000.0	189166.67	2976.66	3571.99	SO	0	1	0	0	DomÃ¨ne	38	fevrier 2024	83 rue des brassiÃ¨res 38420 DomÃ¨ne	2021-11-08	63.55	1.0	InspiR'	Bouygues	143.0
144	67_1_InspiR'_Bouygues	3	Appartement		245500.0	204583.33	3032.21	3638.65	SE	0	1	0	1	DomÃ¨ne	38	fevrier 2024	83 rue des brassiÃ¨res 38420 DomÃ¨ne	2021-11-08	67.47	1.0	InspiR'	Bouygues	144.0
148	82_1_InspiR'_Bouygues	4	Appartement		282000.0	235000.0	2841.6	3409.92	SO	0	1	0	0	DomÃ¨ne	38	fevrier 2024	83 rue des brassiÃ¨res 38420 DomÃ¨ne	2021-11-08	82.7	1.0	InspiR'	Bouygues	148.0
196	30_5_PREAMBULE_Bouygues	1	Appartement		165000.0	137500.0	4572.66	5487.2	E	1	1	0	0	VÃ©nissieux	69	mai 2023	103 AVENUE JULES GUESDE 69200 VÃ©nissieux	2021-11-08	30.07	5.0	PREAMBULE	Bouygues	196.0
199	64_1_PREAMBULE_Bouygues	3	Appartement		270500.0	225416.67	3477.58	4173.09	O	0	1	0	1	VÃ©nissieux	69	mai 2023	103 AVENUE JULES GUESDE 69200 VÃ©nissieux	2021-11-08	64.82	1.0	PREAMBULE	Bouygues	199.0
205	82_1_PREAMBULE_Bouygues	4	Appartement		315500.0	262916.67	3189.96	3827.95	O	0	1	0	1	VÃ©nissieux	69	mai 2023	103 AVENUE JULES GUESDE 69200 VÃ©nissieux	2021-11-08	82.42	1.0	PREAMBULE	Bouygues	205.0
206	81_4_PREAMBULE_Bouygues	4	Appartement		325500.0	271250.0	3338.87	4006.65	O	0	1	0	1	VÃ©nissieux	69	mai 2023	103 AVENUE JULES GUESDE 69200 VÃ©nissieux	2021-11-08	81.24	4.0	PREAMBULE	Bouygues	206.0
207	86_2_ANAGRAM'_Bouygues	4	Appartement	206506.0	234888.3412	195740.28	2261.59	2713.9	Traversant	0	1	0	1	Givors	69	novembre 2022	53 RUE YVES FARGE 69700 Givors	2021-11-08	86.55	2.0	ANAGRAM'	Bouygues	207.0
209	83_4_ANAGRAM'_Bouygues	4	Appartement	236348.0	268831.8483	224026.54	2698.46	3238.16	Vue privilÃ©giÃ©e	0	1	0	1	Givors	69	novembre 2022	53 RUE YVES FARGE 69700 Givors	2021-11-08	83.02	4.0	ANAGRAM'	Bouygues	209.0
210	86_4_ANAGRAM'_Bouygues	4	Appartement	239036.0	271889.2891	226574.41	2617.84	3141.41	Traversant	0	1	0	1	Givors	69	novembre 2022	53 RUE YVES FARGE 69700 Givors	2021-11-08	86.55	4.0	ANAGRAM'	Bouygues	210.0
214	97_2_ChezSoieplateaudelaCroix-Rousse_Bouygues	4	Appartement		881000.0	734166.67	7499.15	8998.98	Traversant	0	1	0	1	Lyon	69	mai 2022	9 RUE VALENTIN COUTURIER 69004 Lyon	2021-11-08	97.9	2.0	Chez Soie. plateau de la Croix-Rousse	Bouygues	214.0
215	40_4_Vill'Soi_Bouygues	2	Appartement	203088.0	231000.5687	192500.47	4807.7	5769.24	E	0	1	0	1	Villeurbanne	69	aout 2023	50 52 RUE SEVERINE 69100 Villeurbanne	2021-11-08	40.04	4.0	Vill' Soi	Bouygues	215.0
216	55_2_Vill'Soi_Bouygues	3	Appartement	234738.0	267000.5687	222500.47	3991.76	4790.11	O	0	1	0	1	Villeurbanne	69	aout 2023	50 52 RUE SEVERINE 69100 Villeurbanne	2021-11-08	55.74	2.0	Vill' Soi	Bouygues	216.0
217	55_1_Vill'Soi_Bouygues	3	Appartement	239758.0	272710.5213	227258.77	4077.12	4892.55	O	0	1	0	1	Villeurbanne	69	aout 2023	50 52 RUE SEVERINE 69100 Villeurbanne	2021-11-08	55.74	1.0	Vill' Soi	Bouygues	217.0
218	56_2_Vill'Soi_Bouygues	3	Appartement	245583.0	279336.1137	232780.09	4115.63	4938.76	E	0	1	0	1	Villeurbanne	69	aout 2023	50 52 RUE SEVERINE 69100 Villeurbanne	2021-11-08	56.56	2.0	Vill' Soi	Bouygues	218.0
219	55_3_Vill'Soi_Bouygues	3	Appartement	274946.0	312734.7867	260612.32	4675.5	5610.6	O	0	1	0	1	Villeurbanne	69	aout 2023	50 52 RUE SEVERINE 69100 Villeurbanne	2021-11-08	55.74	3.0	Vill' Soi	Bouygues	219.0
221	55_4_Vill'Soi_Bouygues	3	Appartement		285360.0	237800.0	4273.14	5127.76	O	0	1	0	1	Villeurbanne	69	aout 2023	50 52 RUE SEVERINE 69100 Villeurbanne	2021-11-08	55.65	4.0	Vill' Soi	Bouygues	221.0
222	56_3_Vill'Soi_Bouygues	3	Appartement		297416.0	247846.67	4382.01	5258.42	O	0	1	0	1	Villeurbanne	69	aout 2023	50 52 RUE SEVERINE 69100 Villeurbanne	2021-11-08	56.56	3.0	Vill' Soi	Bouygues	222.0
223	78_2_Vill'Soi_Bouygues	4	Appartement	334083.0	379999.6209	316666.35	4020.65	4824.78	Traversant	0	1	0	1	Villeurbanne	69	aout 2023	50 52 RUE SEVERINE 69100 Villeurbanne	2021-11-08	78.76	2.0	Vill' Soi	Bouygues	223.0
225	78_3_Vill'Soi_Bouygues	4	Appartement	382862.0	435482.8436	362902.37	4618.25	5541.9	Traversant	0	1	0	1	Villeurbanne	69	aout 2023	50 52 RUE SEVERINE 69100 Villeurbanne	2021-11-08	78.58	3.0	Vill' Soi	Bouygues	225.0
226	75_4_Vill'Soi_Bouygues	4	Appartement	384755.0	437636.019	364696.68	4829.14	5794.97	E	0	1	0	1	Villeurbanne	69	aout 2023	50 52 RUE SEVERINE 69100 Villeurbanne	2021-11-08	75.52	4.0	Vill' Soi	Bouygues	226.0
272	48_6_TERRESDELAYA_Bouygues	2	Appartement		263000.0	219166.67	4565.97	5479.17	S	0	1	0	1	LaMotte-Servolex	73	aout 2024	CHEMIN DE LA FONTAINE DE JANON 73290 La Motte-Servolex	2021-11-08	48.0	6.0	TERRES DE LAYA	Bouygues	272.0
274	69_1_TERRESDELAYA_Bouygues	3	Appartement		293000.0	244166.67	3495.59	4194.7	S	0	1	0	1	LaMotte-Servolex	73	aout 2024	CHEMIN DE LA FONTAINE DE JANON 73290 La Motte-Servolex	2021-11-08	69.85	1.0	TERRES DE LAYA	Bouygues	274.0
275	65_2_TERRESDELAYA_Bouygues	3	Appartement		293000.0	244166.67	3705.11	4446.13	E	0	1	0	1	LaMotte-Servolex	73	aout 2024	CHEMIN DE LA FONTAINE DE JANON 73290 La Motte-Servolex	2021-11-08	65.9	2.0	TERRES DE LAYA	Bouygues	275.0
277	69_1__1_TERRESDELAYA_Bouygues	3	Appartement		307000.0	255833.33	3678.41	4414.09	E	0	1	0	1	LaMotte-Servolex	73	aout 2024	CHEMIN DE LA FONTAINE DE JANON 73290 La Motte-Servolex	2021-11-08	69.55	1.0	TERRES DE LAYA	Bouygues	277.0
278	65_5_TERRESDELAYA_Bouygues	3	Appartement		309000.0	257500.0	3907.44	4688.92	E	0	1	0	1	LaMotte-Servolex	73	aout 2024	CHEMIN DE LA FONTAINE DE JANON 73290 La Motte-Servolex	2021-11-08	65.9	5.0	TERRES DE LAYA	Bouygues	278.0
279	69_2_TERRESDELAYA_Bouygues	3	Appartement		314000.0	261666.67	3792.27	4550.72	E	0	1	0	1	LaMotte-Servolex	73	aout 2024	CHEMIN DE LA FONTAINE DE JANON 73290 La Motte-Servolex	2021-11-08	69.0	2.0	TERRES DE LAYA	Bouygues	279.0
280	70_2_TERRESDELAYA_Bouygues	3	Appartement		318000.0	265000.0	3753.54	4504.25	O	0	1	0	1	LaMotte-Servolex	73	aout 2024	CHEMIN DE LA FONTAINE DE JANON 73290 La Motte-Servolex	2021-11-08	70.6	2.0	TERRES DE LAYA	Bouygues	280.0
281	68_1_TERRESDELAYA_Bouygues	3	Appartement		320000.0	266666.67	3887.27	4664.72	E	0	1	0	1	LaMotte-Servolex	73	aout 2024	CHEMIN DE LA FONTAINE DE JANON 73290 La Motte-Servolex	2021-11-08	68.6	1.0	TERRES DE LAYA	Bouygues	281.0
282	69_3_TERRESDELAYA_Bouygues	3	Appartement		322000.0	268333.33	3858.14	4629.76	E	0	1	0	1	LaMotte-Servolex	73	aout 2024	CHEMIN DE LA FONTAINE DE JANON 73290 La Motte-Servolex	2021-11-08	69.55	3.0	TERRES DE LAYA	Bouygues	282.0
283	70_3_TERRESDELAYA_Bouygues	3	Appartement		326000.0	271666.67	3847.97	4617.56	O	0	1	0	1	LaMotte-Servolex	73	aout 2024	CHEMIN DE LA FONTAINE DE JANON 73290 La Motte-Servolex	2021-11-08	70.6	3.0	TERRES DE LAYA	Bouygues	283.0
284	69_4_TERRESDELAYA_Bouygues	3	Appartement		330000.0	275000.0	3953.99	4744.79	E	0	1	0	1	LaMotte-Servolex	73	aout 2024	CHEMIN DE LA FONTAINE DE JANON 73290 La Motte-Servolex	2021-11-08	69.55	4.0	TERRES DE LAYA	Bouygues	284.0
285	69_3__1_TERRESDELAYA_Bouygues	3	Appartement						SE	0	1	0	1	LaMotte-Servolex	73	aout 2024	CHEMIN DE LA FONTAINE DE JANON 73290 La Motte-Servolex	2021-11-08	69.1	3.0	TERRES DE LAYA	Bouygues	285.0
287	69_4__1_TERRESDELAYA_Bouygues	3	Appartement		344000.0	286666.67	4148.58	4978.29	S	0	1	0	1	LaMotte-Servolex	73	aout 2024	CHEMIN DE LA FONTAINE DE JANON 73290 La Motte-Servolex	2021-11-08	69.1	4.0	TERRES DE LAYA	Bouygues	287.0
288	69_4__2_TERRESDELAYA_Bouygues	3	Appartement		345000.0	287500.0	4115.96	4939.16	S	0	1	0	1	LaMotte-Servolex	73	aout 2024	CHEMIN DE LA FONTAINE DE JANON 73290 La Motte-Servolex	2021-11-08	69.85	4.0	TERRES DE LAYA	Bouygues	288.0
289	68_6_TERRESDELAYA_Bouygues	3	Appartement		348000.0	290000.0	4218.18	5061.82	E	0	1	0	1	LaMotte-Servolex	73	aout 2024	CHEMIN DE LA FONTAINE DE JANON 73290 La Motte-Servolex	2021-11-08	68.75	6.0	TERRES DE LAYA	Bouygues	289.0
290	70_6_TERRESDELAYA_Bouygues	3	Appartement		348000.0	290000.0	4107.65	4929.18	O	0	1	0	1	LaMotte-Servolex	73	aout 2024	CHEMIN DE LA FONTAINE DE JANON 73290 La Motte-Servolex	2021-11-08	70.6	6.0	TERRES DE LAYA	Bouygues	290.0
291	69_5_TERRESDELAYA_Bouygues	3	Appartement		366000.0	305000.0	4413.89	5296.67	S	0	1	0	1	LaMotte-Servolex	73	aout 2024	CHEMIN DE LA FONTAINE DE JANON 73290 La Motte-Servolex	2021-11-08	69.1	5.0	TERRES DE LAYA	Bouygues	291.0
332	36_2_SOLSTICES_Bouygues	2	Appartement		144000.0	120000.0	3303.06	3963.67	E	0	1	0	1	Dijon	21	fevrier 2024	RUE DES MARAICHERS 21000 Dijon	2021-11-08	36.33	2.0	SOLSTICES	Bouygues	332.0
333	42_2_SOLSTICES_Bouygues	2	Appartement		155000.0	129166.67	3053.59	3664.3	NE	0	1	0	1	Dijon	21	fevrier 2024	RUE DES MARAICHERS 21000 Dijon	2021-11-08	42.3	2.0	SOLSTICES	Bouygues	333.0
335	37_1_SOLSTICES_Bouygues	2	Appartement		159000.0	132500.0	3533.33	4240.0	E	0	1	0	1	Dijon	21	fevrier 2024	RUE DES MARAICHERS 21000 Dijon	2021-11-08	37.5	1.0	SOLSTICES	Bouygues	335.0
336	37_1__1_SOLSTICES_Bouygues	2	Appartement		159000.0	132500.0	3528.63	4234.35	E	0	1	0	1	Dijon	21	fevrier 2024	RUE DES MARAICHERS 21000 Dijon	2021-11-08	37.55	1.0	SOLSTICES	Bouygues	336.0
338	44_2_SOLSTICES_Bouygues	2	Appartement		168000.0	140000.0	3167.42	3800.9	NE	0	1	0	1	Dijon	21	fevrier 2024	RUE DES MARAICHERS 21000 Dijon	2021-11-08	44.2	2.0	SOLSTICES	Bouygues	338.0
339	42_2__1_SOLSTICES_Bouygues	2	Appartement		168000.0	140000.0	3309.69	3971.63	NE	0	1	0	1	Dijon	21	fevrier 2024	RUE DES MARAICHERS 21000 Dijon	2021-11-08	42.3	2.0	SOLSTICES	Bouygues	339.0
340	42_2__2_SOLSTICES_Bouygues	2	Appartement		168000.0	140000.0	3309.69	3971.63	SO	0	1	0	1	Dijon	21	fevrier 2024	RUE DES MARAICHERS 21000 Dijon	2021-11-08	42.3	2.0	SOLSTICES	Bouygues	340.0
342	40_2_SOLSTICES_Bouygues	2	Appartement		171000.0	142500.0	3540.37	4248.45	SO	0	1	0	1	Dijon	21	fevrier 2024	RUE DES MARAICHERS 21000 Dijon	2021-11-08	40.25	2.0	SOLSTICES	Bouygues	342.0
345	42_3_SOLSTICES_Bouygues	2	Appartement		172000.0	143333.33	3388.49	4066.19	NE	0	1	0	1	Dijon	21	fevrier 2024	RUE DES MARAICHERS 21000 Dijon	2021-11-08	42.3	3.0	SOLSTICES	Bouygues	345.0
346	42_3__1_SOLSTICES_Bouygues	2	Appartement		172000.0	143333.33	3388.49	4066.19	NE	0	1	0	1	Dijon	21	fevrier 2024	RUE DES MARAICHERS 21000 Dijon	2021-11-08	42.3	3.0	SOLSTICES	Bouygues	346.0
